"filename", "language", "JavaScript", "vue", "Markdown", "HTML", "JSON", "JSON with Comments", "Properties", "Environment Variables", "comment", "blank", "total"
"c:\Users\mohammad\Desktop\parsLancer\backend\schemas\userSkillSchema.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\mohammad\Desktop\parsLancer\backend\server.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 1, 9, 52
"c:\Users\mohammad\Desktop\parsLancer\backend\utils\database.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26
"c:\Users\mohammad\Desktop\parsLancer\backend\utils\error.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\mohammad\Desktop\parsLancer\backend\utils\logger.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"c:\Users\mohammad\Desktop\parsLancer\backend\utils\shared.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\mohammad\Desktop\parsLancer\frontend\.env", "Properties", 0, 0, 0, 0, 0, 0, 2, 0, 1, 3, 6
"c:\Users\mohammad\Desktop\parsLancer\frontend\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\mohammad\Desktop\parsLancer\frontend\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\mohammad\Desktop\parsLancer\frontend\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\mohammad\Desktop\parsLancer\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 20637, 0, 0, 0, 0, 1, 20638
"c:\Users\mohammad\Desktop\parsLancer\frontend\package.json", "JSON", 0, 0, 0, 0, 47, 0, 0, 0, 0, 1, 48
"c:\Users\mohammad\Desktop\parsLancer\frontend\public\index.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 0, 1, 1, 18
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\App.vue", "vue", 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\aboutUs.vue", "vue", 0, 49, 0, 0, 0, 0, 0, 0, 0, 4, 53
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\contactUs.vue", "vue", 0, 72, 0, 0, 0, 0, 0, 0, 0, 4, 76
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\createProject.vue", "vue", 0, 185, 0, 0, 0, 0, 0, 0, 0, 25, 210
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\dashboard.vue", "vue", 0, 45, 0, 0, 0, 0, 0, 0, 3, 8, 56
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\editProfile.vue", "vue", 0, 299, 0, 0, 0, 0, 0, 0, 5, 34, 338
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\employerProject.vue", "vue", 0, 43, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\footer.vue", "vue", 0, 87, 0, 0, 0, 0, 0, 0, 0, 14, 101
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\freeLancerProfile.vue", "vue", 0, 176, 0, 0, 0, 0, 0, 0, 1, 30, 207
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\freelancerProject.vue", "vue", 0, 43, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\home.vue", "vue", 0, 173, 0, 0, 0, 0, 0, 0, 7, 12, 192
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\login.vue", "vue", 0, 128, 0, 0, 0, 0, 0, 0, 0, 18, 146
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\manageUser.vue", "vue", 0, 314, 0, 0, 0, 0, 0, 0, 8, 34, 356
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\manageUsers.vue", "vue", 0, 184, 0, 0, 0, 0, 0, 0, 3, 26, 213
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\navbar.vue", "vue", 0, 105, 0, 0, 0, 0, 0, 0, 6, 17, 128
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\notFound.vue", "vue", 0, 48, 0, 0, 0, 0, 0, 0, 0, 8, 56
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\pagination.vue", "vue", 0, 43, 0, 0, 0, 0, 0, 0, 1, 5, 49
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\profile.vue", "vue", 0, 183, 0, 0, 0, 0, 0, 0, 2, 27, 212
